teman: tesan txman temkn
sekolah: sekula sekoa sekalh
makan: mkan mkann makn
puteri: putri putry putrei
buku: bukku buqu bukoo
bermain: brmain bermyn brmanin
jalan: jlan jallan jaln
puteri: puteri putery putre
menggambar: mgambar mngambar mengambar
kucing: kucin kucng kuching
laptop: labtop lapptop loptap
sayuran: sayran sayuran syauran
berbicara: brbicara bberbicara berbikara
televisi: televissi televsi tlevisi
kelas: kls kella kelsa
hujan: ujan hjujan hujen
membaca: membca mebaca mambaca
kopi: kpe kopi kpo
pintu: pintt puinntu pntu
matahari: matahri mtahari matari
merah: merh meraah merak
menulis: menuliss menulisss menliss
mobil: moobil mobill mobiil
bahasa: bahassa bahassa bhsa
samping: sapting samting sempting
jam: jamm jem jamu
musik: msik muzik muusik
meja: mja mejja meji
sendiri: sendiri sndiri sendiir
langit: langitt langot langet
pustaha: pushtaha pusthaha pustaja
dwitunggal: dwitungal dwitunggall dwitunggol
syekh: shekh syek syekhk
kilatan: kilattan kilathan kilatann
transenden: transenden transendenn transindan
syafaat: syapat syafaatt syafat
kriptografi: kriptografi kriptografii kriptograpy
desentralisasi: desentralisasi desentralisass desentralysasi
abdulah: abduleh abdulahh abdullah
xenofobi: ksenufobi ksenufobii ksenufoby
makhluk: makhlok makhluuk makhlukk
semantik: simantik semanntik symantik
konvergen: konfergen konvergenn konvegen
katalis: kataliss kataliis katalys
astronomi: astromoni astronomii astronommy
persepsi: perspsi perssepsi perspeksi
hipotesis: hipotessis hipotezis hipotess
monoton: monotonn monnott monoton
analogi: analogii anologii analogey
stategis: sttrategis stategiss stategi
konsensus: koncensus konsenuss koncesus
oligarki: olligarki oligarqi oligarky
feminis: feminnis femeniss femiinis
obstruksi: obstruksii obstroksi obsturksi
provokasi: provokassii provokasy provvokasi
paradoks: paraddoks paradokss paraddox
perifer: peripper perifer periferr
oligopoli: olligopoli oligopoly oligopolly
eksentrik: ekksentrik eksenttrik eksentrick
detoksifikasi: detoksiifikasi detokssifikasi detokifykasi
perspektif: perspektiff perspektiif perspektify
integritas: inttegritas integrritas integrytas
peradaban: peraddaban peradavann peradafan
mikroorganisme: mikroorgannisme mikroorganiisme mikroorganysme
elektroforesis: elektrophoresis elektroforresis elektrforesis
patologi: patologi patologii patologgy
homogenitas: hommogenitas homogenytas homogenyty
meteorologi: meteorologi meteorologii meteorrologi
enigmatik: enigmathik enigmatikk enigmetik
korupsi: korrupsi korupssii korruptsi
simbolik: symboolik simbollik simbolyc
singkronis: sinchronis singchroniss sinkronis
