teman: texan
sekolah: stxlah
makan: mkan
puteri: putei
buku: buxu
bermain: bermxin
jalan: jxlan
puteri: putxe
menggambar: mengambar
kucing: kucin
laptop: loptap
sayuran: syauran
berbicara: berbikara
televisi: tlevisi
kelas: kls
hujan: hujen
membaca: mambaca
kopi: kpe
pintu: pntu
matahari: matari
merah: merak
menulis: menukis
mobil: mooil
bahasa: baxsa
samping: samting
jam: jal
musik: mosik
meja: meji
sendiri: sendifi
langit: langmt
pustaha: pustaja
dwitunggal: dwitungal
syekh: syekh
kilatan: kilatan
transenden: transenden
syafaat: syafaat
kriptografi: kriptografi
desentralisasi: desentralisasi
abdulah: abdullah
xenofobi: ksenufobi
makhluk: makhluk
semantik: semantik
konvergen: konvergen
katalis: katalis
astronomi: astronomi
persepsi: persepsi
hipotesis: hipotesis
monoton: monoton
analogi: analozi
strategis: stratebis
konsensus: koncessus
oligarki: oligarchy
feminis: feminism
obstruksi: obstruction
provokasi: provocation
paradoks: paradox
perifer: periphery
oligopoli: oligopoly
eksentrik: eccentric
detoksifikasi: detoxification
perspektif: perspective
integritas: integrity
peradaban: civilization
mikroorganisme: microorganism
elektroforesis: electrophoresis
patologi: pathology
homogenitas: homogeneity
meteorologi: meteorology
enigmatik: enigmatic
korupsi: corruption
simbolik: symbolic
singkronis: synchronous
monopoli: monopoly
kritikus: critic
entropi: entropy
dogmatis: dogmatic
siluet: silhouette
skeptisisme: skepticism
rekonstruksi: reconstruction
hegemoni: hegemony
distopia: dystopia
ultraviolet: ultraviolet
harmonis: harmonious
provokatif: provocative
abstraksi: abstraction
indigo: indigo
otentik: authentic
apokaliptik: apocalyptic
didaktik: didactic
kolaboratif: kolaborattif
eksplorasi: eksplorasy
afinitas: affinitas
kontradiksi: kontradiksi
simetri: symetrii
fotografi: fotografi
permutasi: permutasi
eksekusi: eksekusi
atmosfer: atmosfer
adopsi: adopsi
fundamental: fundamental
entitas: entitas
manifestasi: manifestasi
konservatif: konservatif
terminologi: terminologi
kompleksitas: kompleksitas
astronomis: astronomis
diskursus: diskursus
entropi: entropi
agnostik: agnostik
semantik: semantik
konsolidasi: konsolidasi
partisipasi: partisipasi
relatif: relatif
anomali: anomali
asimetri: asimetri
integral: integral
dinamis: dinamis
proaktif: proaktif
perspektif: perspektif
individualis: individualis
simetri: simetri
monoton: monoton
filantropi: filantropi
etis: etis
kuratif: kuratif
neuron: neuron
optik: optik
empiris: empiris
optimis: optimis
kontradiksi: kontradiksi
pendekatan: pendekatan
kontroversi: kontroversi
keseimbangan: keseimbangan
publikasi: publikasi
inkonsistensi: inkonsistensi
pemantauan: pemantauan
struktural: struktural
interpretasi: interpretasi
kapasitas: kapasitas
konsentrasi: konsentrasi
prediksi: prediksi
transformasi: transformasi
diksi: diksi
konspirasi: konspirasi
etika: etika
kritisi: kritisi
terminologi: terminologi
revisi: revisi
identitas: identitas
oposisi: oposisi
aksioma: aksioma
abstrak: abstrak
difusi: difusi
metamorfosis: metamorfosis
insentif: insentif
aborsi: aborsi
aroma: aroma
konsesi: konzesi
kritik: krisik
analogi: analozi
etnis: etnis etnyss
solusi: solusii solusy
mikroskopis: mikroscopy
soliter: solliter solitir
paralel: paralllel paralleel
diskontinuitas: diskontinuity
regenerasi: regenerasii
adegan: adehan
eksklusif: ekskluusiv
hibrida: hibrila
optimal: optimoll
demonstrasi: demonstrasii
konformitas: konnformity
anarki: anarky
perturbasi: perturbassy
distorsi: distoorsy
saraf: sarav
degradasi: degradassy 
paradigma: paradigmas
inkarnasi: inkarnation
prakarsa:  prakarsah
konfrontasi:konfrontassy 
spesifik: spessifik
dinasti: dynasti 
akurat: akkurat
divergen: divurgen
fenomena: fenomenah
kontradiksi: kontradiksy
kriteria: krriteria
inklusif: inklussiv
konvensional: konvensyonal
monotoni: monnotoni 
aspirasi: aspirassy asspirasi
diametral:diammetrall
sterilisasi: sterilysasi
asimilasi: assimilasy 
klandestin: clandestin
fragmentasi: fragmentassy
perihelion: periheleon
korelasi: korelasy
